model,augmentation,phase,epoch,loss,accuracy,date
ORCA__Size-512x512_Epoch-22_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,23,0.28906403854489326,0.8763572692871093,2021-05-31 08:39:11.234842
ORCA__Size-512x512_Epoch-24_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,24,0.2621416302397847,0.8865128993988037,2021-05-31 08:40:16.296349
ORCA__Size-512x512_Epoch-24_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,24,0.2760474972426891,0.8854555130004883,2021-05-31 08:40:16.296406
ORCA__Size-512x512_Epoch-25_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,25,0.25977226458489894,0.8875436305999755,2021-05-31 08:41:21.330936
ORCA__Size-512x512_Epoch-25_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,25,0.2710924781858921,0.8860980987548828,2021-05-31 08:41:21.330979
ORCA__Size-512x512_Epoch-25_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,26,0.2566892793402076,0.8891344547271729,2021-05-31 08:42:24.634635
ORCA__Size-512x512_Epoch-25_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,26,0.28231204971671103,0.8808078765869141,2021-05-31 08:42:24.634662
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,27,0.2566787455230951,0.889378547668457,2021-05-31 08:43:29.727615
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,27,0.27037029787898065,0.8889379501342773,2021-05-31 08:43:29.727651
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,28,0.2525733787566423,0.8904487133026123,2021-05-31 08:44:33.107403
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,28,0.276899766176939,0.881768798828125,2021-05-31 08:44:33.107433
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,29,0.25302437506616116,0.8906227111816406,2021-05-31 08:45:36.495570
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,29,0.30526739209890363,0.8700437545776367,2021-05-31 08:45:36.495602
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,30,0.26563453385606406,0.8841017723083496,2021-05-31 08:46:39.775957
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,30,0.27547087594866754,0.8850135803222656,2021-05-31 08:46:39.775987
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,31,0.24736041929572822,0.8931261539459229,2021-05-31 08:47:42.986172
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,31,0.2749863021075726,0.8833536148071289,2021-05-31 08:47:42.986208
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,32,0.24445856707170605,0.8941415309906006,2021-05-31 08:48:46.289995
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,32,0.2801441542804241,0.887384033203125,2021-05-31 08:48:46.290022
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,33,0.24157362757250667,0.8954059600830078,2021-05-31 08:49:49.631070
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,33,0.27944631651043894,0.8853654861450195,2021-05-31 08:49:49.631127
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,34,0.23460553586483002,0.8977657794952393,2021-05-31 08:50:52.822280
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,34,0.2769870914518833,0.8868507385253906,2021-05-31 08:50:52.822306
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,35,0.2303796425461769,0.8999355792999267,2021-05-31 08:51:56.044623
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,35,0.27883086204528806,0.8843729019165039,2021-05-31 08:51:56.044666
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,36,0.22697630627080798,0.9011019706726074,2021-05-31 08:52:59.372791
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,36,0.2832084223628044,0.8886159896850586,2021-05-31 08:52:59.372835
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,37,0.24201002633199095,0.8934356212615967,2021-05-31 08:54:02.621694
ORCA__Size-512x512_Epoch-27_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,37,0.29739594757556914,0.8704889297485352,2021-05-31 08:54:02.621721
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,38,0.26212318036705257,0.883229398727417,2021-05-31 08:55:07.696267
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,38,0.26388501971960066,0.8930686950683594,2021-05-31 08:55:07.696312
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,39,0.22670816322788595,0.9015917778015137,2021-05-31 08:56:10.989786
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,39,0.27406934946775435,0.8896581649780273,2021-05-31 08:56:10.989837
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,40,0.21865741927176713,0.9050633907318115,2021-05-31 08:57:14.248528
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,40,0.27051107212901115,0.88980712890625,2021-05-31 08:57:14.248558
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,41,0.21016393546015025,0.9092654228210449,2021-05-31 08:58:17.523412
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,41,0.26998253762722013,0.8917957305908203,2021-05-31 08:58:17.523439
