model,augmentation,phase,epoch,loss,accuracy,date
OCDC__Size-640x640_Epoch-49_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,49,0.25713556689997424,0.8928564133417036,2021-08-02 01:40:19.070111
OCDC__Size-640x640_Epoch-49_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,49,0.3001091762820983,0.8649522976345482,2021-08-02 01:40:19.070165
OCDC__Size-640x640_Epoch-50_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,50,0.2510695676334546,0.8961819748651413,2021-08-02 01:57:16.439461
OCDC__Size-640x640_Epoch-50_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,50,0.2984434661481323,0.8646690809461802,2021-08-02 01:57:16.439517
OCDC__Size-640x640_Epoch-51_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,51,0.24431380988493662,0.8976852707635787,2021-08-02 02:14:15.185484
OCDC__Size-640x640_Epoch-51_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,51,0.40835347226756213,0.8624243299696182,2021-08-02 02:14:15.185529
OCDC__Size-640x640_Epoch-52_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,52,0.2519907353696042,0.8960475928896948,2021-08-02 02:31:12.571884
OCDC__Size-640x640_Epoch-52_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,52,0.2821283575354351,0.8697578667534724,2021-08-02 02:31:12.571932
OCDC__Size-640x640_Epoch-53_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,53,0.24555932620437704,0.9001839454287581,2021-08-02 02:48:10.473534
OCDC__Size-640x640_Epoch-53_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,53,0.3337000705663943,0.8707043321397568,2021-08-02 02:48:10.473595
OCDC__Size-640x640_Epoch-54_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,54,0.2524946257230892,0.8948773803710927,2021-08-02 03:05:07.704434
OCDC__Size-640x640_Epoch-54_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,54,0.28967931654899276,0.867833523220486,2021-08-02 03:05:07.704489
OCDC__Size-640x640_Epoch-55_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,55,0.26943836136211063,0.8858917003813254,2021-08-02 03:22:05.019731
OCDC__Size-640x640_Epoch-55_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,55,0.2889064680836681,0.8721367458767355,2021-08-02 03:22:05.019790
OCDC__Size-640x640_Epoch-56_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,56,0.2471026682605346,0.8984367850167414,2021-08-02 03:39:02.709952
