model,augmentation,phase,epoch,loss,accuracy,date
ORCA__Size-640x640_Epoch-64_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,64,0.2637460676298152,0.8886806995446623,2021-05-05 19:13:21.929872
ORCA__Size-640x640_Epoch-64_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,64,0.3384115667596433,0.8576039129004258,2021-05-05 19:13:21.929913
ORCA__Size-640x640_Epoch-65_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,65,0.22154396353442662,0.9095363226347557,2021-05-05 20:22:58.277504
ORCA__Size-640x640_Epoch-65_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,65,0.3929961088520732,0.8438655832306596,2021-05-05 20:22:58.277561
ORCA__Size-640x640_Epoch-66_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,66,0.2264957063674451,0.9067147856351887,2021-05-05 21:32:42.092546
ORCA__Size-640x640_Epoch-66_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,66,0.39513813302515066,0.8418398635846028,2021-05-05 21:32:42.092574
ORCA__Size-640x640_Epoch-67_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,67,0.23152857189478618,0.9042418039130242,2021-05-05 22:42:19.484141
ORCA__Size-640x640_Epoch-67_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,67,0.39770980448692395,0.8413598253621571,2021-05-05 22:42:19.484197
ORCA__Size-640x640_Epoch-68_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,68,0.22711534894563917,0.906349634781979,2021-05-05 23:52:17.828601
ORCA__Size-640x640_Epoch-68_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,68,0.3850499989087677,0.8453361352626573,2021-05-05 23:52:17.828651
ORCA__Size-640x640_Epoch-69_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,69,0.21797723910537645,0.9106731104508552,2021-05-06 01:02:40.073069
ORCA__Size-640x640_Epoch-69_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,69,0.38824481454153803,0.8446976389822284,2021-05-06 01:02:40.073132
ORCA__Size-640x640_Epoch-70_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,70,0.22775709523164064,0.9055218681079946,2021-05-06 02:18:56.401213
ORCA__Size-640x640_Epoch-70_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,70,0.3368834540867686,0.8651797685885227,2021-05-06 02:18:56.401242
ORCA__Size-640x640_Epoch-71_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,71,0.23105204857975795,0.904775842547986,2021-05-06 03:29:02.384299
ORCA__Size-640x640_Epoch-71_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,71,0.3739273421301672,0.8482483595616791,2021-05-06 03:29:02.384326
ORCA__Size-640x640_Epoch-72_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,72,0.24788170673622098,0.8975007833818494,2021-05-06 04:39:07.365970
